d_id,d_title,d_name,u_id,u_name,u_age,rating,age_limit
1,1917,Sam Mendes,17,Anna,38,1,15
1,1917,Sam Mendes,20,Kelly,33,5,15
2,Alien,Ridley Scott,47,Luis,32,1,18
2,Alien,Ridley Scott,26,Jennifer,37,4,18
3,American History X,Tony Kaye,18,Daniel,53,2,18
3,American History X,Tony Kaye,14,Angela,58,5,18
4,Anand,Hrishikesh Mukherjee,4,William,8,1,7
4,Anand,Hrishikesh Mukherjee,47,Luis,32,1,7
5,Andhadhun,Sriram Raghavan,9,Christopher,55,5,15
5,Andhadhun,Sriram Raghavan,8,James,33,3,15
6,Avengers: Endgame,Anthony Russo,23,Jay,53,3,15
6,Avengers: Endgame,Anthony Russo,26,Jennifer,37,3,15
7,Avengers: Infinity War,Anthony Russo,10,Matthew,56,3,18
7,Avengers: Infinity War,Anthony Russo,15,Amber,34,1,18
8,Ayla: The Daughter of War,Can Ulkay,46,Ashley,26,1,12
8,Ayla: The Daughter of War,Can Ulkay,44,Sherry,56,4,12
9,Capharnaüm,Nadine Labaki,13,Jennifer,30,4,18
9,Capharnaüm,Nadine Labaki,34,Victoria,54,1,18
10,Casablanca,Michael Curtiz,19,Kristin,55,1,18
10,Casablanca,Michael Curtiz,1,Cory,53,3,18
11,City Lights,Charles Chaplin,46,Ashley,26,1,7
11,City Lights,Charles Chaplin,7,Matthew,29,2,7
12,Coco,Lee Unkrich,32,John,54,1,0
12,Coco,Lee Unkrich,44,Sherry,56,5,0
13,Django Unchained,Quentin Tarantino,37,Christine,58,5,12
13,Django Unchained,Quentin Tarantino,17,Anna,38,3,12
14,2001: A Space Odyssey,Stanley Kubrick,45,Jeffrey,38,5,12
14,2001: A Space Odyssey,Stanley Kubrick,8,James,33,3,12
15,Eternal Sunshine of the Spotless Mind,Michel Gondry,49,Tiffany,23,4,12
15,Eternal Sunshine of the Spotless Mind,Michel Gondry,31,Michelle,47,2,12
16,Fight Club,David Fincher,22,Rachel,29,3,18
16,Fight Club,David Fincher,38,Barbara,47,5,18
17,Gisaengchung,Bong Joon Ho,23,Jay,53,1,18
17,Gisaengchung,Bong Joon Ho,20,Kelly,33,1,18
18,Gladiator,Ridley Scott,28,Sarah,33,5,15
18,Gladiator,Ridley Scott,27,Billy,27,5,15
19,Good Will Hunting,Gus Van Sant,18,Daniel,53,3,12
62,Mother,Bong Joon Ho,4,William,8,3,0
20,Goodfellas,Martin Scorsese,13,Jennifer,30,2,19
20,Goodfellas,Martin Scorsese,17,Anna,38,5,19
21,Hotaru no haka,Isao Takahata,35,John,26,1,18
21,Hotaru no haka,Isao Takahata,6,Megan,41,1,18
22,"Il buono, il brutto, il cattivo",Sergio Leone,24,Bradley,42,2,7
22,"Il buono, il brutto, il cattivo",Sergio Leone,45,Jeffrey,38,1,7
23,Inglourious Basterds,Quentin Tarantino,26,Jennifer,37,1,15
23,Inglourious Basterds,Quentin Tarantino,11,Bryan,54,5,15
86,American Graffiti,George Lucas,25,Zachary,8,1,7
77,My Neighbors the Yamadas,Isao Takahata,30,Steven,8,5,7
25,La vita e bella,Roberto Benigni,5,Lori,35,4,19
89,The Majestic,Frank Darabont,43,Richard,8,1,7
26,La vita è bella,Roberto Benigni,27,Billy,27,4,7
26,La vita è bella,Roberto Benigni,20,Kelly,33,4,7
27,Miracle in cell NO.7,Mehmet Ada _ztekin,12,Emma,26,1,15
12,Coco,Lee Unkrich,43,Richard,8,4,0
36,Saving Private Ryan,Steven Spielberg,2,Nichole,8,3,0
28,Modern Times,Charles Chaplin,40,Tyler,20,4,18
29,Mononoke-hime,Hayao Miyazaki,46,Ashley,26,4,0
29,Mononoke-hime,Hayao Miyazaki,9,Christopher,55,5,0
30,Oldeuboi,Chan-wook Park,50,Martin,28,5,15
85,The Little Prince,Bob Persichetti,4,William,8,5,7
31,Once Upon a Time in America,Sergio Leone,1,Cory,53,4,7
31,Once Upon a Time in America,Sergio Leone,35,John,26,1,7
32,Once Upon a Time in the West,Sergio Leone,37,Christine,58,5,19
32,Once Upon a Time in the West,Sergio Leone,42,Gary,19,1,19
33,Paths of Glory,Stanley Kubrick,13,Jennifer,30,5,18
33,Paths of Glory,Stanley Kubrick,38,Barbara,47,3,18
34,Raiders of the Lost Ark,Steven Spielberg,20,Kelly,33,2,15
36,Saving Private Ryan,Steven Spielberg,43,Richard,8,1,0
35,Requiem for a Dream,Darren Aronofsky,46,Ashley,26,1,0
35,Requiem for a Dream,Darren Aronofsky,18,Daniel,53,1,0
36,Saving Private Ryan,Steven Spielberg,46,Ashley,26,2,0
36,Saving Private Ryan,Steven Spielberg,50,Martin,28,3,0
37,Sen to Chihiro no kamikakushi,Hayao Miyazaki,22,Rachel,29,3,12
37,Sen to Chihiro no kamikakushi,Hayao Miyazaki,45,Jeffrey,38,2,12
38,Shichinin no samurai,Akira Kurosawa,17,Anna,38,3,12
38,Shichinin no samurai,Akira Kurosawa,38,Barbara,47,2,12
39,Snatch,Guy Ritchie,3,Travis,21,2,7
39,Snatch,Guy Ritchie,35,John,26,5,7
40,Soorarai Pottru,Sudha Kongara,37,Christine,58,2,15
40,Soorarai Pottru,Sudha Kongara,45,Jeffrey,38,4,15
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,36,Christopher,22,3,15
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,50,Martin,28,3,15
42,Star Wars,George Lucas,50,Martin,28,2,19
42,Star Wars,George Lucas,26,Jennifer,37,5,19
43,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,12,Emma,26,1,19
43,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,16,Jessica,44,5,19
44,The Dark Knight,Christopher Nolan,48,Frank,43,2,19
44,The Dark Knight,Christopher Nolan,27,Billy,27,4,19
45,The Dark Knight Rises,Christopher Nolan,45,Jeffrey,38,5,12
45,The Dark Knight Rises,Christopher Nolan,34,Victoria,54,3,12
46,The Departed,Martin Scorsese,14,Angela,58,4,15
46,The Departed,Martin Scorsese,11,Bryan,54,1,15
47,The Godfather: Part II,Francis Ford Coppola,7,Matthew,29,5,15
47,The Godfather: Part II,Francis Ford Coppola,41,Michael,58,5,15
48,The Great Dictator,Charles Chaplin,8,James,33,5,0
48,The Great Dictator,Charles Chaplin,4,William,8,4,0
49,The Green Mile,Frank Darabont,48,Frank,43,2,12
49,The Green Mile,Frank Darabont,19,Kristin,55,3,12
50,The Intouchables,Olivier Nakache,14,Angela,58,3,18
50,The Intouchables,Olivier Nakache,33,Frank,36,3,18
51,The Lion King,Roger Allers,2,Nichole,8,5,0
51,The Lion King,Roger Allers,9,Christopher,55,4,0
52,The Lives of Others,Florian Henckel von Donnersmarck,16,Jessica,44,2,12
52,The Lives of Others,Florian Henckel von Donnersmarck,10,Matthew,56,4,12
86,American Graffiti,George Lucas,25,Zachary,8,5,7
63,Snowpiercer,Bong Joon Ho,2,Nichole,8,2,7
54,The Lord of the Rings: The Return of the King,Peter Jackson,26,Jennifer,37,4,0
54,The Lord of the Rings: The Return of the King,Peter Jackson,5,Lori,35,5,0
55,The Matrix,Lana Wachowski,12,Emma,26,2,7
55,The Matrix,Lana Wachowski,16,Jessica,44,4,7
56,The Shining,Stanley Kubrick,22,Rachel,29,5,15
56,The Shining,Stanley Kubrick,15,Amber,34,2,15
57,The Usual Suspects,Bryan Singer,34,Victoria,54,3,0
57,The Usual Suspects,Bryan Singer,17,Anna,38,4,0
58,Tumbbad,Rahi Anil Barve,19,Kristin,55,3,15
58,Tumbbad,Rahi Anil Barve,45,Jeffrey,38,1,15
59,Vikram Vedha,Gayatri,37,Christine,58,5,19
59,Vikram Vedha,Gayatri,45,Jeffrey,38,4,19
60,WALL·E,Andrew Stanton,23,Jay,53,2,7
60,WALL·E,Andrew Stanton,5,Lori,35,4,7
61,Witness for the Prosecution,Billy Wilder,18,Daniel,53,1,7
61,Witness for the Prosecution,Billy Wilder,28,Sarah,33,1,7
62,Mother,Bong Joon Ho,1,Cory,53,5,0
62,Mother,Bong Joon Ho,10,Matthew,56,4,0
63,Snowpiercer,Bong Joon Ho,21,Megan,40,4,7
63,Snowpiercer,Bong Joon Ho,26,Jennifer,37,3,7
29,Mononoke-hime,Hayao Miyazaki,2,Nichole,8,3,0
64,Open Season,Roger Allers,48,Frank,43,5,18
65,Beauty and the Beast,Roger Allers,42,Gary,19,3,7
65,Beauty and the Beast,Roger Allers,8,James,33,5,7
66,Road to Perdition,Sam Mendes,16,Jessica,44,1,15
66,Road to Perdition,Sam Mendes,21,Megan,40,2,15
67,Lakeview Terrace,Tony Kaye,44,Sherry,56,5,15
67,Lakeview Terrace,Tony Kaye,16,Jessica,44,4,15
68,Chupke Chupke,Hrishikesh Mukherjee,40,Tyler,20,3,15
68,Chupke Chupke,Hrishikesh Mukherjee,20,Kelly,33,5,15
69,Johnny Gaddaar,Sriram Raghavan,16,Jessica,44,5,15
69,Johnny Gaddaar,Sriram Raghavan,14,Angela,58,4,15
89,The Majestic,Frank Darabont,43,Richard,8,3,7
70,Turkish Ice-Cream,Can Ulkay,13,Jennifer,30,5,18
71,Where Do We Go Now?,Nadine Labaki,24,Bradley,42,5,12
71,Where Do We Go Now?,Nadine Labaki,50,Martin,28,1,12
72,Yankee Doodle Dandy,Michael Curtiz,7,Matthew,29,4,19
72,Yankee Doodle Dandy,Michael Curtiz,16,Jessica,44,1,19
73,Toy Story 3,Lee Unkrich,3,Travis,21,3,0
73,Toy Story 3,Lee Unkrich,1,Cory,53,5,0
74,The Science of Sleep,Michel Gondry,9,Christopher,55,1,15
